DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
"Pasta, beef stroganoff & hidangan Indonesia di tempat luas & trendi dengan dekor bergaya boho-chic.",-,Mengidentifikasi diri sebagai milik perempuan,Antar tanpa bertemu,Pelayanan cepat,Pintu masuk khusus pengguna kursi roda,Bir,Sarapan,Cocok untuk anak-anak,Nyaman,Berkelompok
,,,Pesan antar,,,Hidangan larut malam,Brunch,Kursi tinggi,Santai,Ramah keluarga
,,,Bawa pulang,,,Hidangan organik,Makan siang,Memiliki bar,,
,,,Makan di tempat,,,Koktail,Makan malam,Toilet,,
,,,,,,Kopi,Katering,Wi-Fi,,
,,,,,,Makanan halal,Hidangan penutup,Wi-Fi Gratis,,
,,,,,,Menu untuk anak-anak,Tempat duduk,,,
,,,,,,Pilihan menu sehat,,,,
,,,,,,Pilihan menu vegetarian,,,,
,,,,,,Wine,,,,
